,x,y,majoraxislength,minoraxislength,angle,count,counterr,magnitude,magnitudeerr
98,743.0,920.0,4.632993221282959,5.828427076339722,135.0,958.8917808219121,30.965977795346816,17.845576009820732,0.02
99,748.7377319335938,326.2657165527344,12.06396198272705,16.128100395202637,106.28986358642578,19005.20531622367,137.859367894328,14.602818585709768,0.02
100,716.8409423828125,597.3206787109375,7.668591022491455,8.9899263381958,102.1939926147461,3386.0664335664187,58.189916940707334,16.47576131355333,0.02
101,713.0778198242188,813.859130859375,11.45932674407959,13.087190628051758,93.98856353759766,13794.587020648934,117.4503598148977,14.950728242010198,0.02
102,725.0,738.5,5.1213202476501465,6.0,0.0,1094.134130146078,33.07769838042058,17.702323586204848,0.02
103,710.5,516.5,6.162277698516846,6.162277698516846,0.0,1627.3187660668336,40.340039242256985,17.27131841823558,0.02
104,706.5654296875,928.5584716796875,9.77631139755249,11.274374008178711,81.44646453857422,5010.692468619207,70.78624491113516,16.050255628186818,0.02
105,738.1015014648438,388.3961181640625,5.206480979919434,6.2983715534210205,21.356496810913086,1311.2799999999988,36.211600351268636,17.50576140679498,0.02
106,732.0476684570312,454.0142517089844,7.515953063964844,8.899094104766846,83.33229064941406,3310.461899179354,57.536613553278876,16.500278515357117,0.02
107,804.4573364257812,906.2271728515625,8.477206707000732,11.460650444030762,69.84317779541016,3953.4285714285797,62.87629578329643,16.307565258528065,0.02
108,816.1699829101562,882.841796875,10.875822067260742,18.86593532562256,93.13519287109375,11615.357586512808,107.77456836616331,15.137418539033273,0.02
109,818.978759765625,499.9396667480469,5.303694725036621,5.845378160476685,76.13611602783203,1333.050000000003,36.51095725943108,17.487883901940123,0.02
110,771.0921020507812,401.6172180175781,13.269721984863281,15.2903470993042,101.74842071533203,27863.846153846127,166.9246720944694,14.187397341091762,0.02
111,786.8978271484375,197.01121520996094,8.489471435546875,10.51466703414917,56.45949172973633,4314.383259911847,65.68396501363058,16.21270319451878,0.02
112,785.1968994140625,497.75787353515625,8.92748498916626,10.76732349395752,93.95214080810547,4301.612377850164,65.58667835658522,16.215921817126876,0.02
113,787.3811645507812,708.572998046875,7.514676570892334,8.616144180297852,105.11614227294922,2741.6106508875673,52.36039200471638,16.704985553458975,0.02
114,609.5195922851562,495.51959228515625,5.6761744022369385,7.016696929931641,135.0,1746.2503225806577,41.78816007651758,17.194733751628924,0.02
115,620.0638427734375,425.7875061035156,7.969740390777588,9.580587387084961,104.43023681640625,3994.3478760046128,63.20085344364119,16.29638528553733,0.02
116,605.7630004882812,575.3394775390625,7.589118957519531,8.3287034034729,129.963623046875,2979.4499411071884,54.58433787367204,16.614659767319374,0.02
117,604.5,821.5,6.0,7.242640495300293,45.0,1794.1707632600155,42.35765294796226,17.165340561518278,0.02
118,599.7167358398438,138.81414794921875,9.409851551055908,13.524330139160156,62.38551330566406,6120.2854230377125,78.23225308680374,15.83307080952179,0.02
119,627.6195678710938,754.1868286132812,9.658472061157227,10.181824684143066,74.729248046875,6060.380434782652,77.84844529457638,15.843750281357828,0.02
120,637.1845092773438,564.06103515625,6.953003644943237,8.6189284324646,121.73078918457031,2890.0323741007305,53.759021327594226,16.647743230639293,0.02
121,579.8151245117188,751.1036987304688,5.577665328979492,6.964038133621216,18.182247161865234,1729.4596670934698,41.586772741984554,17.20522390439435,0.02
122,587.4834594726562,413.4921569824219,8.624016761779785,12.997041702270508,116.928466796875,7006.777548918617,83.70649645588219,15.686204175657634,0.02
123,569.7638549804688,62.44382858276367,5.834705829620361,6.907086610794067,104.78215026855469,1846.981958762888,42.976527998000115,17.133843366770257,0.02
124,586.7996826171875,640.5426635742188,6.255687713623047,6.944849491119385,91.78892517089844,1993.8770595690585,44.65285052008504,17.050754058386868,0.02
125,688.6124267578125,667.5875854492188,22.195436477661133,40.16572952270508,165.1551055908203,84903.99146757647,291.3828949467976,12.977679731056906,0.02
126,684.28125,648.3206176757812,5.861591100692749,12.050662994384766,92.4243392944336,3263.80586907448,57.1297284176503,16.515689202382028,0.02
127,683.1019897460938,873.0260620117188,14.714493751525879,16.371270179748535,99.36174011230469,26263.09590235399,162.0589272528792,14.251635201132466,0.02
128,688.5000610351562,558.9999389648438,3.072094716131687,3.1167852953076363,58.25944900512695,422.1392801251932,20.54602832970872,18.736360586991868,0.02
129,674.6817016601562,929.1188354492188,15.3269681930542,18.054508209228516,46.34868621826172,23055.601175482734,151.8407098754571,14.393058872638669,0.02
130,680.0,917.0,6.464101552963257,6.464101552963257,0.0,638.9028132992098,25.276526923199118,18.286412998805538,0.02
131,706.0,822.0,6.577708721160889,7.618802070617676,135.0,1129.7389162561449,33.611589017125404,17.66755477697776,0.02
132,650.42578125,690.5973510742188,5.7832372188568115,6.189904451370239,32.12076187133789,1388.0090791180264,37.255993868343204,17.444019232761335,0.02
133,648.6284790039062,659.9967041015625,4.760973215103149,5.477636337280273,89.40545654296875,1074.0217391304468,32.77227088760324,17.722467320127365,0.02
